state_id,population,head_of_state,head_of_government,type_government_id
1,2876591,Ilir Meta,Edi Rama,1
2,77281,"Joan Enric Vives i Sicília, Emmanuel Macron",Xavier Espot Zamora,2
3,2924816,Vahagn Khachaturyan,Nikol Pashinyan,1
4,8823054,Alexander Van der Bellen,Karl Nehammer,3
5,9911646,Ilham Aliyev,Ali Asadov,4
6,9504700,Alexander Lukashenko,Roman Golovchenko,4
7,11358357,Philippe,Alexander De Croo,5
8,3531159,Šefik Džaferović,Zoran Tegeltija,3
9,7101859,Rumen Radev,Kiril Petkov,1
10,3888529,Zoran Milanović,Andrej Plenković,1
11,1170125,Nicos Anastasiades,Nicos Anastasiades,4
12,10610947,Miloš Zeman,Petr Fiala,1
13,5748796,Margrethe II,Mette Frederiksen,6
14,1319133,Alar Karis,Kaja Kallas,1
15,5509717,Sauli Niinistö,Sanna Marin,1
16,67348000,Emmanuel Macron,Jean Castex,4
17,3718200,Salome Zourabichvili,Irakli Garibashvili,1
18,82800000,Frank-Walter Steinmeier,Olaf Scholz,3
19,10768477,Katerina Sakellaropoulou,Kyriakos Mitsotakis,1
20,9797561,János Áder,Viktor Orbán,1
21,350710,Guðni Th. Jóhannesson,Katrín Jakobsdóttir,1
22,4761865,Michael D. Higgins,Micheál Martin,1
23,60589445,Sergio Mattarella,Mario Draghi,1
24,17987736,Qasym-Zhomart Toqaev,Alihan Smaiylov,4
25,1925800,Egils Levits,Krišjānis Kariņš,1
26,38111,Hans-Adam II,Daniel Risch,6
27,2800667,Gitanas Nausėda,Ingrida Šimonytė,4
28,602005,Henri,Xavier Bettel,7
29,445426,George Vella,Robert Abela,1
30,3434547,Maia Sandu,Natalia Gavrilița,1
31,38400,Albert II,Pierre Dartout,6
32,642550,Milo Đukanović,Zdravko Krivokapić,1
33,17271990,Willem-Alexander,Mark Rutte,6
34,2103721,Stevo Pendarovski,Dimitar Kovačevski,1
35,5295619,Harald V,Jonas Gahr Støre,6
36,38422346,Andrzej Duda,Mateusz Morawiecki,1
37,10379537,Marcelo Rebelo de Sousa,António Costa,4
38,19638000,Klaus Iohannis,Nicolae Ciucă,4
39,144526636,Vladimir Putin,Mikhail Mishustin,7
40,33285,"Oscar Mina, Paolo Rondelli",Luca Beccari,8
41,7040272,Aleksandar Vučić,Ana Brnabić,1
42,5435343,Zuzana Čaputová,Eduard Heger,1
43,2066880,Borut Pahor,Janez Janša,1
44,46698151,Felipe VI,Pedro Sánchez,6
45,10151588,Carl XVI Gustaf,Magdalena Andersson,6
46,8401120,"Ignazio Cassis, Alain Berset, Ueli Maurer, Simonetta Sommaruga, Guy Parmelin, Karin Keller-Sutter, Viola Amherd","Ignazio Cassis, Alain Berset, Ueli Maurer, Simonetta Sommaruga, Guy Parmelin, Karin Keller-Sutter, Viola Amherd",9
47,84680273,Recep Tayyip Erdoğan,Recep Tayyip Erdoğan,4
48,42418235,Volodymyr Zelenskyy,Denys Shmyhal,4
49,66040229,Elizabeth II,Boris Johnson,6
50,1000,Pope Francis,Fernando Vérgez Alzaga,10
