id,name,head_of_state,head_of_government
1,Unitary parliamentary republic,President,Prime Minister
2,Unitary parliamentary elective constitutional diarchy,Co-Princes,Prime Minister
3,Federal parliamentary republic,President,Prime Minister/Chancellor
4,Unitary (semi-)presidential republic,President,Prime Minister
5,Federal parliamentary constitutional monarchy,Monarch,Prime Minister
6,Unitary (semi-)parliamentary monarchy,Monarch,Prime Minister
7,Federal semi-presidential republic,President,Prime Minister
8,Unitary assembly-independent diarchic directorial republic,Captain Regents,Secretary for Foreign and Political Affairs
9,Federal assembly-independent directorial republic,Federal Council,Federal Council
10,Unitary Christian theocratic elective absolute monarchy,Sovereign,President of the Governorate
