id,name,total_number_speakers
1,Albanian,7500000
2,Catalan,9200000
3,Armenian,6000000
4,German,155000000
5,Azerbaijani,30000000
6,Belarusian,10000000
7,Russian,260000000
8,Dutch,27000000
9,French,300000000
10,Bosnian,2500000
11,Serbian,9000000
12,Croatian,6250000
13,Bulgarian,6800000
14,Greek,13200000
15,Turkish,88000000
16,Czech,10000000
17,Danish,5600000
18,Estonian,1100000
19,Finnish,5800000
20,Swedish,13200000
21,Georgian,3700000
22,Hungarian,13000000
23,Icelandic,350000
24,Irish,1770000
25,English,1350000000
26,Italian,85000000
27,Kazakh,14100000
28,Latvian,1750000
29,Lithuanian,3000000
30,Luxembourgish,600000
31,Maltese,520000
32,Romanian,28000000
33,Montenegrin,
34,Macedonian,2000000
35,Norwegian,5300000
36,Polish,42000000
37,Portuguese,274000000
38,Slovak,5200000
39,Slovene,2500000
40,Spanish,580000000
41,Ukrainian,45000000
