b0,R
2.0,3.953
2.1,3.663
2.2,3.635
2.3,3.46
2.4,3.178
2.5,3.197
2.6,3.16
2.7,3.015
2.8,2.853
2.9,2.817
3,2.817
3.1,2.655
3.2,2.567
3.3,2.763
3.4,3.2
3.5,5.03
3.6,19.797
3.7,62.93
3.8,144.782
3.9,218.08
4,278.733
4.1,318.817
4.2,352.005
4.3,373.725
4.4,393.002
4.5,399.457
4.6,409.6
4.7,412.882
4.8,418.027
4.9,413.642
5,414.363
5.1,410.935
5.2,409.478
5.3,401.29
5.4,397.902
5.5,388.683
5.6,383.363
5.7,369.765
5.8,365.04
5.9,351.647
6,350.262
6.1,339.777
6.2,372.998
6.3,486.195
6.4,766.423
6.5,809.827
6.6,564.418
6.7,337.27
6.8,329.125
6.9,316.575
7,375.87
7.1,782.36
7.2,1686.517
7.3,1879.075
7.4,1015.285
7.5,291.748
7.6,274.202
7.7,262.39
7.8,258.973
7.9,247.11
8,241.335
8.1,226.05
8.2,217.08
8.3,201.645
8.4,194.317
8.5,181.657
8.6,175.768
8.7,167.107
8.8,161.977
8.9,152.482
9,148.773
9.1,141.472
9.2,138.752
9.3,130.458
9.4,122.59
9.5,111.75
9.6,104.925
9.7,94.705
9.8,89.993
9.9,83.24
10,81.37
10.1,76.755
10.2,75.332
10.3,70.985
10.4,70.235
10.5,66.222
10.6,64.665
10.7,62.667
10.8,63.172
10.9,60.727
11,61.335
11.1,58.505
11.2,58.82
11.3,55.205
11.4,55.337
11.5,52.093
11.6,52.74
11.7,51.377
11.8,52.093
11.9,51.15
12,51.487
12.1,49.513
12.2,49.575
12.3,49.193
12.4,49.938
12.5,49.017
12.6,56.225
12.7,67.67
12.8,88.85
12.9,135.173
13,159.565
13.1,102.145
13.2,51.998
13.3,48.14
13.4,49.045
13.5,47.545
13.6,47.078
13.7,46.112
13.8,46.002
13.9,45.063
14,44.672
14.1,44.205
14.2,45.665
14.3,51.745
14.4,98.39
14.5,303.092
14.6,482.71
14.7,377.095
14.8,128.255
14.9,45.615
15,42.712
15.1,40.778
15.2,40.49
15.3,39.28
15.4,38.932
15.5,37.6
15.6,37.928
15.7,35.77
15.8,35.763
15.9,34.278
16,34.655
16.1,32.608
16.2,31.797
16.3,31.367
16.4,31.552
16.5,30.968
16.6,30.27
16.7,29.575
16.8,28.837
16.9,27.102
17,26.34
17.1,25.355
17.2,25.13
17.3,24.975
17.4,24.53
17.5,24.372
17.6,23.703
17.7,22.925
17.8,22.5
17.9,22.185
18,22.195
18.1,21.865
18.2,21.12
18.3,21.235
18.4,20.535
18.5,19.898
18.6,19.965
18.7,18.58
18.8,19.215
18.9,18.078
19,17.83
19.1,17.27
19.2,19.398
19.3,20.275
