Radio (cm):   Potencial (V): Pendiente (V/cm):
5             50             -20
5.05      49.0099      -19.6059
5.1      48.0392      -19.2234
5.15      47.0874      -18.8519
5.2      46.1538      -18.4911
5.25      45.2381      -18.1406
5.3      44.3396      -17.7999
5.35      43.4579      -17.4688
5.4      42.5926      -17.1468
5.45      41.7431      -16.8336
5.5      40.9091      -16.5289
5.55      40.0901      -16.2324
5.6      39.2857      -15.9439
5.65      38.4956      -15.6629
5.7      37.7193      -15.3894
5.75      36.9565      -15.1229
5.8      36.2069      -14.8633
5.85      35.4701      -14.6103
5.9      34.7458      -14.3637
5.95      34.0336      -14.1233
6      33.3333      -13.8889
6.05      32.6446      -13.6603
6.1      31.9672      -13.4372
6.15      31.3008      -13.2196
6.2      30.6452      -13.0073
6.25      30      -12.8
6.3      29.3651      -12.5976
6.35      28.7402      -12.4
6.4      28.125      -12.207
6.45      27.5194      -12.0185
6.5      26.9231      -11.8343
6.55      26.3359      -11.6543
6.6      25.7576      -11.4784
6.65      25.188      -11.3065
6.7      24.6269      -11.1383
6.75      24.0741      -10.9739
6.8      23.5294      -10.8131
6.85      22.9927      -10.6559
6.9      22.4638      -10.502
6.95      21.9424      -10.3514
7      21.4286      -10.2041
7.05      20.922      -10.0599
7.1      20.4225      -9.91867
7.15      19.9301      -9.78043
7.2      19.4444      -9.64506
7.25      18.9655      -9.51249
7.3      18.4932      -9.38262
7.35      18.0272      -9.2554
7.4      17.5676      -9.13075
7.45      17.1141      -9.0086
7.5      16.6667      -8.88889
7.55      16.2252      -8.77155
7.6      15.7895      -8.65651
7.65      15.3595      -8.54372
7.7      14.9351      -8.43313
7.75      14.5161      -8.32466
7.8      14.1026      -8.21828
7.85      13.6943      -8.11392
7.9      13.2911      -8.01154
7.95      12.8931      -7.91108
8      12.5      -7.8125
8.05      12.1118      -7.71575
8.1      11.7284      -7.62079
8.15      11.3497      -7.52757
8.2      10.9756      -7.43605
8.25      10.6061      -7.34619
8.3      10.241      -7.25795
8.35      9.88024      -7.17129
8.4      9.52381      -7.08617
8.45      9.1716      -7.00256
8.5      8.82353      -6.92042
8.55      8.47953      -6.83971
8.6      8.13953      -6.76041
8.65      7.80347      -6.68248
8.7      7.47126      -6.60589
8.75      7.14286      -6.53061
8.8      6.81818      -6.45661
8.85      6.49718      -6.38386
8.9      6.17978      -6.31233
8.95      5.86592      -6.242
9      5.55556      -6.17284
9.05      5.24862      -6.10482
9.1      4.94505      -6.03792
9.15      4.64481      -5.97211
9.2      4.34783      -5.90737
9.25      4.05405      -5.84368
9.3      3.76344      -5.78102
9.35      3.47594      -5.71935
9.4      3.19149      -5.65867
9.45      2.91005      -5.59895
9.5      2.63158      -5.54017
9.55      2.35602      -5.48231
9.6      2.08333      -5.42535
9.65      1.81347      -5.36927
9.7      1.54639      -5.31406
9.75      1.28205      -5.2597
9.8      1.02041      -5.20616
9.85      0.761421      -5.15344
9.9      0.505051      -5.10152
9.95      0.251256      -5.05038
10      2.19277e-015      -5
