t:      g:         g':       Integral:
0   0   1
0.1   0.0950042   0.900162   0.0950042
0.2   0.180064   0.801267   0.275068
0.3   0.255318   0.704163   0.530386
0.4   0.320982   0.609605   0.851368
0.5   0.377346   0.518249   1.22871
0.6   0.424758   0.430659   1.65347
0.7   0.463619   0.347309   2.11709
0.8   0.494374   0.268589   2.61146
0.9   0.517502   0.194806   3.12897
1   0.533508   0.126193   3.66247
1.1   0.542918   0.0629083   4.20539
1.2   0.54627   0.00504824   4.75166
1.3   0.54411   -0.0473537   5.29577
1.4   0.536981   -0.0943187   5.83275
1.5   0.525425   -0.135918   6.35818
1.6   0.509973   -0.172266   6.86815
1.7   0.491142   -0.203516   7.35929
1.8   0.469433   -0.229858   7.82873
1.9   0.445327   -0.251508   8.27405
2   0.41928   -0.268706   8.69333
2.1   0.391725   -0.281712   9.08506
2.2   0.363068   -0.290802   9.44813
2.3   0.333686   -0.296262   9.78181
2.4   0.303927   -0.298386   10.0857
2.5   0.27411   -0.29747   10.3598
2.6   0.244524   -0.293813   10.6044
2.7   0.215429   -0.28771   10.8198
2.8   0.187054   -0.279453   11.0069
2.9   0.159601   -0.269324   11.1665
3   0.133242   -0.257598   11.2997
3.1   0.108125   -0.244538   11.4078
3.2   0.0843707   -0.230397   11.4922
3.3   0.0620743   -0.21541   11.5543
3.4   0.0413094   -0.199801   11.5956
3.5   0.0221278   -0.183778   11.6177
3.6   0.00456112   -0.167533   11.6223
3.7   -0.0113772   -0.15124   11.6109
3.8   -0.0256906   -0.13506   11.5852
3.9   -0.0383977   -0.119135   11.5468
4   -0.0495304   -0.103593   11.4973
4.1   -0.0591327   -0.0885447   11.4381
4.2   -0.0672591   -0.0740868   11.3709
4.3   -0.0739725   -0.0603002   11.2969
4.4   -0.0793438   -0.0472523   11.2176
4.5   -0.0834494   -0.0349968   11.1341
4.6   -0.0863709   -0.0235747   11.0477
4.7   -0.0881932   -0.0130155   10.9595
4.8   -0.0890034   -0.00333735   10.8705
4.9   -0.0888903   0.00545154   10.7817
5   -0.0879428   0.0133522   10.6937
5.1   -0.0862492   0.0203741   10.6075
5.2   -0.0838967   0.026534   10.5236
5.3   -0.0809703   0.0318555   10.4426
5.4   -0.0775526   0.0363676   10.365
5.5   -0.0737227   0.0401046   10.2913
5.6   -0.0695562   0.0431046   10.2218
5.7   -0.0651249   0.0454093   10.1566
5.8   -0.0604961   0.0470629   10.0961
5.9   -0.0557325   0.0481116   10.0404
6   -0.0508924   0.0486031   9.98952
6.1   -0.0460289   0.0485857   9.94349
6.2   -0.0411906   0.0481079   9.9023
6.3   -0.036421   0.0472182   9.86588
6.4   -0.0317591   0.0459642   9.83412
6.5   -0.0272388   0.0443925   9.80688
6.6   -0.0228896   0.0425483   9.78399
6.7   -0.0187367   0.040475   9.76525
6.8   -0.0148009   0.0382141   9.75045
6.9   -0.0110988   0.0358051   9.73935
7   -0.00764357   0.0332848   9.73171
7.1   -0.00444443   0.0306879   9.72727
7.2   -0.00150747   0.0280463   9.72576
7.3   0.00116434   0.0253895   9.72692
7.4   0.00357082   0.022744   9.73049
7.5   0.00571434   0.0201341   9.73621
7.6   0.00759954   0.0175811   9.74381
7.7   0.00923308   0.0151038   9.75304
7.8   0.0106234   0.0127187   9.76366
7.9   0.0117804   0.0104397   9.77544
8   0.0127152   0.0082782   9.78816
8.1   0.0134402   0.00624372   9.8016
8.2   0.0139685   0.00434349   9.81557
8.3   0.0143136   0.00258278   9.82988
8.4   0.0144898   0.00096507   9.84437
8.5   0.0145114   -0.000507871   9.85888
8.6   0.0143931   -0.00183581   9.87328
8.7   0.0141491   -0.00301993   9.88743
8.8   0.0137938   -0.00406265   9.90122
8.9   0.0133411   -0.00496751   9.91456
9   0.0128047   -0.00573903   9.92737
9.1   0.0121976   -0.00638257   9.93956
9.2   0.0115323   -0.00690417   9.95109
9.3   0.0108206   -0.00731049   9.96192
9.4   0.0100738   -0.00760863   9.97199
9.5   0.00930225   -0.00780606   9.98129
