t:      z:         z':
0   1   -0.5
0.001   0.9995   -0.501
0.002   0.998998   -0.502
0.003   0.998496   -0.503
0.004   0.997992   -0.504
0.005   0.997488   -0.505
0.006   0.996982   -0.506
0.007   0.996476   -0.507
0.008   0.995968   -0.508
0.009   0.99546   -0.509
0.01   0.99495   -0.509999
0.011   0.99444   -0.510999
0.012   0.993928   -0.511999
0.013   0.993416   -0.512999
0.014   0.992902   -0.513999
0.015   0.992388   -0.514998
0.016   0.991872   -0.515998
0.017   0.991356   -0.516998
0.018   0.990838   -0.517997
0.019   0.99032   -0.518997
0.02   0.9898   -0.519996
0.021   0.98928   -0.520995
0.022   0.988758   -0.521995
0.023   0.988236   -0.522994
0.024   0.987712   -0.523993
0.025   0.987188   -0.524992
0.026   0.986662   -0.525991
0.027   0.986136   -0.52699
0.028   0.985608   -0.527989
0.029   0.98508   -0.528988
0.03   0.98455   -0.529986
0.031   0.98402   -0.530985
0.032   0.983488   -0.531983
0.033   0.982956   -0.532982
0.034   0.982422   -0.53398
0.035   0.981888   -0.534978
0.036   0.981352   -0.535976
0.037   0.980816   -0.536974
0.038   0.980278   -0.537972
0.039   0.97974   -0.53897
0.04   0.9792   -0.539968
0.041   0.97866   -0.540965
0.042   0.978118   -0.541963
0.043   0.977576   -0.54296
0.044   0.977032   -0.543957
0.045   0.976488   -0.544954
0.046   0.975943   -0.545951
0.047   0.975396   -0.546947
0.048   0.974849   -0.547944
0.049   0.9743   -0.54894
0.05   0.973751   -0.549937
0.051   0.9732   -0.550933
0.052   0.972649   -0.551929
0.053   0.972096   -0.552924
0.054   0.971543   -0.55392
0.055   0.970989   -0.554916
0.056   0.970433   -0.555911
0.057   0.969877   -0.556906
0.058   0.969319   -0.557901
0.059   0.968761   -0.558896
0.06   0.968202   -0.55989
0.061   0.967641   -0.560885
0.062   0.96708   -0.561879
0.063   0.966517   -0.562873
0.064   0.965954   -0.563867
0.065   0.96539   -0.56486
0.066   0.964824   -0.565854
0.067   0.964258   -0.566847
0.068   0.963691   -0.56784
0.069   0.963122   -0.568833
0.07   0.962553   -0.569825
0.071   0.961983   -0.570817
0.072   0.961411   -0.57181
0.073   0.960839   -0.572801
0.074   0.960266   -0.573793
0.075   0.959692   -0.574785
0.076   0.959116   -0.575776
0.077   0.95854   -0.576767
0.078   0.957963   -0.577758
0.079   0.957384   -0.578748
0.08   0.956805   -0.579738
0.081   0.956225   -0.580728
0.082   0.955644   -0.581718
0.083   0.955062   -0.582707
0.084   0.954478   -0.583697
0.085   0.953894   -0.584686
0.086   0.953309   -0.585674
0.087   0.952723   -0.586663
0.088   0.952136   -0.587651
0.089   0.951547   -0.588639
0.09   0.950958   -0.589626
0.091   0.950368   -0.590614
0.092   0.949777   -0.591601
0.093   0.949185   -0.592587
0.094   0.948592   -0.593574
0.095   0.947998   -0.59456
0.096   0.947403   -0.595546
0.097   0.946807   -0.596531
0.098   0.94621   -0.597517
0.099   0.945612   -0.598502
0.1   0.945013   -0.599486
0.101   0.944413   -0.60047
0.102   0.943812   -0.601454
0.103   0.94321   -0.602438
0.104   0.942607   -0.603421
0.105   0.942003   -0.604404
0.106   0.941398   -0.605387
0.107   0.940792   -0.606369
0.108   0.940185   -0.607351
0.109   0.939578   -0.608333
0.11   0.938969   -0.609314
0.111   0.938359   -0.610295
0.112   0.937748   -0.611276
0.113   0.937136   -0.612256
0.114   0.936524   -0.613236
0.115   0.93591   -0.614215
0.116   0.935295   -0.615195
0.117   0.93468   -0.616173
0.118   0.934063   -0.617152
0.119   0.933445   -0.61813
0.12   0.932827   -0.619108
0.121   0.932207   -0.620085
0.122   0.931586   -0.621062
0.123   0.930965   -0.622038
0.124   0.930342   -0.623014
0.125   0.929719   -0.62399
0.126   0.929094   -0.624965
0.127   0.928469   -0.62594
0.128   0.927843   -0.626915
0.129   0.927215   -0.627889
0.13   0.926587   -0.628862
0.131   0.925957   -0.629836
0.132   0.925327   -0.630809
0.133   0.924696   -0.631781
0.134   0.924063   -0.632753
0.135   0.92343   -0.633725
0.136   0.922796   -0.634696
0.137   0.922161   -0.635666
0.138   0.921525   -0.636637
0.139   0.920888   -0.637606
0.14   0.920249   -0.638576
0.141   0.91961   -0.639545
0.142   0.91897   -0.640513
0.143   0.918329   -0.641481
0.144   0.917687   -0.642449
0.145   0.917045   -0.643416
0.146   0.916401   -0.644382
0.147   0.915756   -0.645349
0.148   0.91511   -0.646314
0.149   0.914463   -0.647279
0.15   0.913815   -0.648244
0.151   0.913167   -0.649208
0.152   0.912517   -0.650172
0.153   0.911866   -0.651135
0.154   0.911215   -0.652098
0.155   0.910562   -0.65306
0.156   0.909909   -0.654022
0.157   0.909254   -0.654983
0.158   0.908599   -0.655944
0.159   0.907942   -0.656904
0.16   0.907285   -0.657864
0.161   0.906626   -0.658823
0.162   0.905967   -0.659782
0.163   0.905307   -0.66074
0.164   0.904646   -0.661698
0.165   0.903983   -0.662655
0.166   0.90332   -0.663611
0.167   0.902656   -0.664567
0.168   0.901991   -0.665523
0.169   0.901325   -0.666478
0.17   0.900658   -0.667432
0.171   0.89999   -0.668386
0.172   0.899321   -0.669339
0.173   0.898652   -0.670292
0.174   0.897981   -0.671244
0.175   0.897309   -0.672195
0.176   0.896637   -0.673146
0.177   0.895963   -0.674097
0.178   0.895288   -0.675047
0.179   0.894613   -0.675996
0.18   0.893936   -0.676945
0.181   0.893259   -0.677893
0.182   0.892581   -0.67884
0.183   0.891901   -0.679787
0.184   0.891221   -0.680733
0.185   0.89054   -0.681679
0.186   0.889858   -0.682624
0.187   0.889175   -0.683569
0.188   0.88849   -0.684513
0.189   0.887805   -0.685456
0.19   0.88712   -0.686399
0.191   0.886433   -0.687341
0.192   0.885745   -0.688282
0.193   0.885056   -0.689223
0.194   0.884366   -0.690163
0.195   0.883676   -0.691102
0.196   0.882984   -0.692041
0.197   0.882292   -0.692979
0.198   0.881598   -0.693917
0.199   0.880904   -0.694854
0.2   0.880209   -0.69579
0.201   0.879512   -0.696726
0.202   0.878815   -0.697661
0.203   0.878117   -0.698595
0.204   0.877418   -0.699529
0.205   0.876718   -0.700462
0.206   0.876017   -0.701394
0.207   0.875315   -0.702325
0.208   0.874612   -0.703256
0.209   0.873909   -0.704186
0.21   0.873204   -0.705116
0.211   0.872498   -0.706045
0.212   0.871792   -0.706973
0.213   0.871084   -0.7079
0.214   0.870376   -0.708827
0.215   0.869667   -0.709753
0.216   0.868957   -0.710678
0.217   0.868245   -0.711603
0.218   0.867533   -0.712527
0.219   0.86682   -0.71345
0.22   0.866106   -0.714373
0.221   0.865392   -0.715294
0.222   0.864676   -0.716215
0.223   0.863959   -0.717135
0.224   0.863242   -0.718055
0.225   0.862523   -0.718974
0.226   0.861804   -0.719892
0.227   0.861083   -0.720809
0.228   0.860362   -0.721726
0.229   0.85964   -0.722641
0.23   0.858917   -0.723556
0.231   0.858193   -0.724471
0.232   0.857468   -0.725384
0.233   0.856742   -0.726297
0.234   0.856015   -0.727209
0.235   0.855288   -0.72812
0.236   0.854559   -0.72903
0.237   0.85383   -0.72994
0.238   0.853099   -0.730848
0.239   0.852368   -0.731756
0.24   0.851636   -0.732664
0.241   0.850902   -0.73357
0.242   0.850168   -0.734476
0.243   0.849434   -0.73538
0.244   0.848698   -0.736284
0.245   0.847961   -0.737188
0.246   0.847223   -0.73809
0.247   0.846485   -0.738991
0.248   0.845745   -0.739892
0.249   0.845005   -0.740792
0.25   0.844264   -0.741691
0.251   0.843522   -0.742589
0.252   0.842779   -0.743487
0.253   0.842035   -0.744383
0.254   0.84129   -0.745279
0.255   0.840544   -0.746174
0.256   0.839797   -0.747068
0.257   0.83905   -0.747961
0.258   0.838302   -0.748853
0.259   0.837552   -0.749745
0.26   0.836802   -0.750635
0.261   0.836051   -0.751525
0.262   0.835299   -0.752414
0.263   0.834546   -0.753302
0.264   0.833792   -0.754189
0.265   0.833038   -0.755075
0.266   0.832282   -0.75596
0.267   0.831526   -0.756844
0.268   0.830769   -0.757728
0.269   0.83001   -0.75861
0.27   0.829251   -0.759492
0.271   0.828491   -0.760373
0.272   0.827731   -0.761253
0.273   0.826969   -0.762132
0.274   0.826206   -0.76301
0.275   0.825443   -0.763887
0.276   0.824679   -0.764763
0.277   0.823913   -0.765638
0.278   0.823147   -0.766513
0.279   0.82238   -0.767386
0.28   0.821613   -0.768258
0.281   0.820844   -0.76913
0.282   0.820074   -0.770001
0.283   0.819304   -0.77087
0.284   0.818533   -0.771739
0.285   0.81776   -0.772607
0.286   0.816987   -0.773473
0.287   0.816213   -0.774339
0.288   0.815439   -0.775204
0.289   0.814663   -0.776068
0.29   0.813886   -0.776931
0.291   0.813109   -0.777793
0.292   0.812331   -0.778653
0.293   0.811552   -0.779513
0.294   0.810772   -0.780372
0.295   0.809991   -0.78123
0.296   0.809209   -0.782087
0.297   0.808427   -0.782943
0.298   0.807644   -0.783798
0.299   0.806859   -0.784652
0.3   0.806074   -0.785505
0.301   0.805288   -0.786357
0.302   0.804502   -0.787208
0.303   0.803714   -0.788058
0.304   0.802925   -0.788907
0.305   0.802136   -0.789755
0.306   0.801346   -0.790601
0.307   0.800555   -0.791447
0.308   0.799763   -0.792292
0.309   0.79897   -0.793136
0.31   0.798177   -0.793978
0.311   0.797382   -0.79482
0.312   0.796587   -0.79566
0.313   0.795791   -0.7965
0.314   0.794994   -0.797338
0.315   0.794196   -0.798176
0.316   0.793398   -0.799012
0.317   0.792598   -0.799847
0.318   0.791798   -0.800681
0.319   0.790997   -0.801514
0.32   0.790195   -0.802346
0.321   0.789392   -0.803177
0.322   0.788589   -0.804007
0.323   0.787784   -0.804836
0.324   0.786979   -0.805663
0.325   0.786173   -0.80649
0.326   0.785366   -0.807315
0.327   0.784558   -0.80814
0.328   0.78375   -0.808963
0.329   0.78294   -0.809785
0.33   0.78213   -0.810606
0.331   0.781319   -0.811426
0.332   0.780507   -0.812245
0.333   0.779695   -0.813062
0.334   0.778881   -0.813879
0.335   0.778067   -0.814694
0.336   0.777252   -0.815508
0.337   0.776436   -0.816321
0.338   0.775619   -0.817133
0.339   0.774802   -0.817944
0.34   0.773983   -0.818753
0.341   0.773164   -0.819562
0.342   0.772344   -0.820369
0.343   0.771523   -0.821175
0.344   0.770702   -0.82198
0.345   0.769879   -0.822784
0.346   0.769056   -0.823587
0.347   0.768232   -0.824388
0.348   0.767407   -0.825188
0.349   0.766582   -0.825987
0.35   0.765755   -0.826785
0.351   0.764928   -0.827582
0.352   0.7641   -0.828378
0.353   0.763272   -0.829172
0.354   0.762442   -0.829965
0.355   0.761612   -0.830757
0.356   0.76078   -0.831547
0.357   0.759949   -0.832337
0.358   0.759116   -0.833125
0.359   0.758282   -0.833912
0.36   0.757448   -0.834698
0.361   0.756613   -0.835483
0.362   0.755777   -0.836266
0.363   0.75494   -0.837048
0.364   0.754103   -0.837829
0.365   0.753265   -0.838608
0.366   0.752426   -0.839387
0.367   0.751586   -0.840164
0.368   0.750745   -0.84094
0.369   0.749904   -0.841714
0.37   0.749062   -0.842488
0.371   0.748219   -0.84326
0.372   0.747375   -0.844031
0.373   0.746531   -0.8448
0.374   0.745686   -0.845569
0.375   0.74484   -0.846336
0.376   0.743993   -0.847101
0.377   0.743146   -0.847866
0.378   0.742297   -0.848629
0.379   0.741448   -0.849391
0.38   0.740599   -0.850151
0.381   0.739748   -0.850911
0.382   0.738897   -0.851668
0.383   0.738045   -0.852425
0.384   0.737192   -0.85318
0.385   0.736338   -0.853934
0.386   0.735484   -0.854687
0.387   0.734629   -0.855439
0.388   0.733773   -0.856189
0.389   0.732917   -0.856937
0.39   0.732059   -0.857685
0.391   0.731201   -0.858431
0.392   0.730342   -0.859176
0.393   0.729483   -0.859919
0.394   0.728623   -0.860661
0.395   0.727762   -0.861402
0.396   0.7269   -0.862141
0.397   0.726037   -0.862879
0.398   0.725174   -0.863616
0.399   0.72431   -0.864351
0.4   0.723445   -0.865085
0.401   0.72258   -0.865817
0.402   0.721714   -0.866549
0.403   0.720847   -0.867278
0.404   0.719979   -0.868007
0.405   0.719111   -0.868734
0.406   0.718242   -0.869459
0.407   0.717372   -0.870184
0.408   0.716501   -0.870907
0.409   0.71563   -0.871628
0.41   0.714758   -0.872348
0.411   0.713885   -0.873067
0.412   0.713012   -0.873784
0.413   0.712138   -0.8745
0.414   0.711263   -0.875214
0.415   0.710387   -0.875927
0.416   0.709511   -0.876639
0.417   0.708634   -0.877349
0.418   0.707756   -0.878058
0.419   0.706878   -0.878765
0.42   0.705999   -0.879471
0.421   0.705119   -0.880175
0.422   0.704239   -0.880878
0.423   0.703357   -0.88158
0.424   0.702475   -0.88228
0.425   0.701593   -0.882978
0.426   0.700709   -0.883675
0.427   0.699825   -0.884371
0.428   0.698941   -0.885065
0.429   0.698055   -0.885758
0.43   0.697169   -0.886449
0.431   0.696282   -0.887139
0.432   0.695395   -0.887828
0.433   0.694507   -0.888514
0.434   0.693618   -0.8892
0.435   0.692728   -0.889884
0.436   0.691838   -0.890566
0.437   0.690947   -0.891247
0.438   0.690056   -0.891926
0.439   0.689163   -0.892604
0.44   0.68827   -0.893281
0.441   0.687377   -0.893955
0.442   0.686482   -0.894629
0.443   0.685588   -0.895301
0.444   0.684692   -0.895971
0.445   0.683796   -0.89664
0.446   0.682899   -0.897307
0.447   0.682001   -0.897973
0.448   0.681103   -0.898637
0.449   0.680204   -0.8993
0.45   0.679304   -0.899961
0.451   0.678404   -0.900621
0.452   0.677503   -0.901279
0.453   0.676601   -0.901935
0.454   0.675699   -0.90259
0.455   0.674796   -0.903244
0.456   0.673892   -0.903895
0.457   0.672988   -0.904546
0.458   0.672083   -0.905194
0.459   0.671178   -0.905841
0.46   0.670272   -0.906487
0.461   0.669365   -0.907131
0.462   0.668457   -0.907773
0.463   0.667549   -0.908414
0.464   0.666641   -0.909053
0.465   0.665731   -0.909691
0.466   0.664821   -0.910327
0.467   0.663911   -0.910962
0.468   0.662999   -0.911594
0.469   0.662087   -0.912226
0.47   0.661175   -0.912855
0.471   0.660262   -0.913483
0.472   0.659348   -0.91411
0.473   0.658433   -0.914735
0.474   0.657518   -0.915358
0.475   0.656603   -0.915979
0.476   0.655686   -0.916599
0.477   0.65477   -0.917218
0.478   0.653852   -0.917834
0.479   0.652934   -0.918449
0.48   0.652015   -0.919063
0.481   0.651096   -0.919674
0.482   0.650176   -0.920284
0.483   0.649255   -0.920893
0.484   0.648334   -0.9215
0.485   0.647412   -0.922105
0.486   0.64649   -0.922708
0.487   0.645567   -0.92331
0.488   0.644643   -0.92391
0.489   0.643719   -0.924509
0.49   0.642794   -0.925105
0.491   0.641869   -0.9257
0.492   0.640943   -0.926294
0.493   0.640016   -0.926886
0.494   0.639089   -0.927476
0.495   0.638161   -0.928064
0.496   0.637233   -0.928651
0.497   0.636304   -0.929236
0.498   0.635374   -0.929819
0.499   0.634444   -0.9304
0.5   0.633514   -0.93098
0.501   0.632582   -0.931558
0.502   0.63165   -0.932135
0.503   0.630718   -0.93271
0.504   0.629785   -0.933283
0.505   0.628851   -0.933854
0.506   0.627917   -0.934423
0.507   0.626983   -0.934991
0.508   0.626047   -0.935557
0.509   0.625111   -0.936122
0.51   0.624175   -0.936684
0.511   0.623238   -0.937245
0.512   0.622301   -0.937804
0.513   0.621363   -0.938362
0.514   0.620424   -0.938917
0.515   0.619485   -0.939471
0.516   0.618545   -0.940023
0.517   0.617605   -0.940573
0.518   0.616664   -0.941122
0.519   0.615722   -0.941669
0.52   0.61478   -0.942214
0.521   0.613838   -0.942757
0.522   0.612895   -0.943298
0.523   0.611951   -0.943838
0.524   0.611007   -0.944376
0.525   0.610063   -0.944912
0.526   0.609117   -0.945446
0.527   0.608172   -0.945979
0.528   0.607225   -0.94651
0.529   0.606279   -0.947039
0.53   0.605331   -0.947566
0.531   0.604384   -0.948091
0.532   0.603435   -0.948614
0.533   0.602486   -0.949136
0.534   0.601537   -0.949656
0.535   0.600587   -0.950174
0.536   0.599637   -0.95069
0.537   0.598686   -0.951205
0.538   0.597734   -0.951717
0.539   0.596782   -0.952228
0.54   0.59583   -0.952737
0.541   0.594877   -0.953244
0.542   0.593923   -0.953749
0.543   0.592969   -0.954252
0.544   0.592015   -0.954754
0.545   0.59106   -0.955254
0.546   0.590104   -0.955751
0.547   0.589148   -0.956247
0.548   0.588192   -0.956741
0.549   0.587235   -0.957234
0.55   0.586277   -0.957724
0.551   0.585319   -0.958213
0.552   0.584361   -0.958699
0.553   0.583402   -0.959184
0.554   0.582442   -0.959667
0.555   0.581483   -0.960148
0.556   0.580522   -0.960627
0.557   0.579561   -0.961104
0.558   0.5786   -0.961579
0.559   0.577638   -0.962053
0.56   0.576676   -0.962524
0.561   0.575713   -0.962994
0.562   0.57475   -0.963461
0.563   0.573786   -0.963927
0.564   0.572822   -0.964391
0.565   0.571857   -0.964853
0.566   0.570892   -0.965313
0.567   0.569927   -0.965771
0.568   0.568961   -0.966228
0.569   0.567994   -0.966682
0.57   0.567027   -0.967134
0.571   0.56606   -0.967585
0.572   0.565092   -0.968033
0.573   0.564124   -0.96848
0.574   0.563155   -0.968924
0.575   0.562186   -0.969367
0.576   0.561217   -0.969808
0.577   0.560247   -0.970246
0.578   0.559276   -0.970683
0.579   0.558305   -0.971118
0.58   0.557334   -0.971551
0.581   0.556362   -0.971982
0.582   0.55539   -0.972411
0.583   0.554417   -0.972838
0.584   0.553444   -0.973263
0.585   0.552471   -0.973686
0.586   0.551497   -0.974107
0.587   0.550523   -0.974526
0.588   0.549548   -0.974943
0.589   0.548573   -0.975358
0.59   0.547597   -0.975772
0.591   0.546621   -0.976183
0.592   0.545645   -0.976592
0.593   0.544668   -0.976999
0.594   0.543691   -0.977404
0.595   0.542713   -0.977807
0.596   0.541735   -0.978209
0.597   0.540757   -0.978608
0.598   0.539778   -0.979005
0.599   0.538799   -0.9794
0.6   0.537819   -0.979793
0.601   0.536839   -0.980184
0.602   0.535859   -0.980573
0.603   0.534878   -0.98096
0.604   0.533897   -0.981345
0.605   0.532915   -0.981728
0.606   0.531933   -0.982109
0.607   0.530951   -0.982488
0.608   0.529968   -0.982865
0.609   0.528985   -0.98324
0.61   0.528002   -0.983612
0.611   0.527018   -0.983983
0.612   0.526034   -0.984352
0.613   0.525049   -0.984718
0.614   0.524064   -0.985083
0.615   0.523079   -0.985446
0.616   0.522094   -0.985806
0.617   0.521108   -0.986164
0.618   0.520121   -0.986521
0.619   0.519135   -0.986875
0.62   0.518148   -0.987227
0.621   0.51716   -0.987577
0.622   0.516172   -0.987925
0.623   0.515184   -0.988271
0.624   0.514196   -0.988615
0.625   0.513207   -0.988957
0.626   0.512218   -0.989296
0.627   0.511228   -0.989634
0.628   0.510239   -0.989969
0.629   0.509249   -0.990303
0.63   0.508258   -0.990634
0.631   0.507267   -0.990963
0.632   0.506276   -0.99129
0.633   0.505285   -0.991615
0.634   0.504293   -0.991938
0.635   0.503301   -0.992259
0.636   0.502308   -0.992577
0.637   0.501316   -0.992894
0.638   0.500323   -0.993208
0.639   0.499329   -0.99352
0.64   0.498336   -0.99383
0.641   0.497342   -0.994138
0.642   0.496347   -0.994444
0.643   0.495353   -0.994748
0.644   0.494358   -0.995049
0.645   0.493363   -0.995349
0.646   0.492367   -0.995646
0.647   0.491371   -0.995941
0.648   0.490375   -0.996234
0.649   0.489379   -0.996525
0.65   0.488382   -0.996814
0.651   0.487385   -0.9971
0.652   0.486388   -0.997385
0.653   0.48539   -0.997667
0.654   0.484393   -0.997947
0.655   0.483395   -0.998225
0.656   0.482396   -0.9985
0.657   0.481398   -0.998774
0.658   0.480399   -0.999045
0.659   0.479399   -0.999314
0.66   0.4784   -0.999581
0.661   0.4774   -0.999846
0.662   0.4764   -1.00011
0.663   0.4754   -1.00037
0.664   0.4744   -1.00063
0.665   0.473399   -1.00088
0.666   0.472398   -1.00114
0.667   0.471397   -1.00139
0.668   0.470395   -1.00164
0.669   0.469393   -1.00189
0.67   0.468391   -1.00213
0.671   0.467389   -1.00237
0.672   0.466387   -1.00261
0.673   0.465384   -1.00285
0.674   0.464381   -1.00309
0.675   0.463378   -1.00332
0.676   0.462374   -1.00355
0.677   0.46137   -1.00378
0.678   0.460367   -1.00401
0.679   0.459362   -1.00424
0.68   0.458358   -1.00446
0.681   0.457354   -1.00468
0.682   0.456349   -1.0049
0.683   0.455344   -1.00511
0.684   0.454339   -1.00533
0.685   0.453333   -1.00554
0.686   0.452327   -1.00575
0.687   0.451322   -1.00596
0.688   0.450316   -1.00616
0.689   0.449309   -1.00636
0.69   0.448303   -1.00656
0.691   0.447296   -1.00676
0.692   0.446289   -1.00696
0.693   0.445282   -1.00715
0.694   0.444275   -1.00734
0.695   0.443268   -1.00753
0.696   0.44226   -1.00772
0.697   0.441252   -1.0079
0.698   0.440244   -1.00809
0.699   0.439236   -1.00827
0.7   0.438228   -1.00844
0.701   0.437219   -1.00862
0.702   0.43621   -1.00879
0.703   0.435201   -1.00896
0.704   0.434192   -1.00913
0.705   0.433183   -1.0093
0.706   0.432174   -1.00946
0.707   0.431164   -1.00962
0.708   0.430155   -1.00978
0.709   0.429145   -1.00994
0.71   0.428135   -1.01009
0.711   0.427125   -1.01025
0.712   0.426114   -1.0104
0.713   0.425104   -1.01055
0.714   0.424093   -1.01069
0.715   0.423082   -1.01083
0.716   0.422071   -1.01097
0.717   0.42106   -1.01111
0.718   0.420049   -1.01125
0.719   0.419038   -1.01138
0.72   0.418026   -1.01152
0.721   0.417015   -1.01164
0.722   0.416003   -1.01177
0.723   0.414991   -1.0119
0.724   0.413979   -1.01202
0.725   0.412967   -1.01214
0.726   0.411955   -1.01226
0.727   0.410943   -1.01237
0.728   0.40993   -1.01249
0.729   0.408918   -1.0126
0.73   0.407905   -1.0127
0.731   0.406892   -1.01281
0.732   0.40588   -1.01291
0.733   0.404867   -1.01302
0.734   0.403854   -1.01311
0.735   0.40284   -1.01321
0.736   0.401827   -1.0133
0.737   0.400814   -1.0134
0.738   0.3998   -1.01349
0.739   0.398787   -1.01357
0.74   0.397773   -1.01366
0.741   0.396759   -1.01374
0.742   0.395746   -1.01382
0.743   0.394732   -1.0139
0.744   0.393718   -1.01397
0.745   0.392704   -1.01405
0.746   0.39169   -1.01412
0.747   0.390676   -1.01419
0.748   0.389661   -1.01425
0.749   0.388647   -1.01431
0.75   0.387633   -1.01438
0.751   0.386618   -1.01443
0.752   0.385604   -1.01449
0.753   0.384589   -1.01454
0.754   0.383575   -1.0146
0.755   0.38256   -1.01464
0.756   0.381546   -1.01469
0.757   0.380531   -1.01474
0.758   0.379516   -1.01478
0.759   0.378501   -1.01482
0.76   0.377486   -1.01485
0.761   0.376472   -1.01489
0.762   0.375457   -1.01492
0.763   0.374442   -1.01495
0.764   0.373427   -1.01498
0.765   0.372412   -1.015
0.766   0.371397   -1.01503
0.767   0.370382   -1.01505
0.768   0.369367   -1.01506
0.769   0.368352   -1.01508
0.77   0.367337   -1.01509
0.771   0.366321   -1.0151
0.772   0.365306   -1.01511
0.773   0.364291   -1.01512
0.774   0.363276   -1.01512
0.775   0.362261   -1.01512
0.776   0.361246   -1.01512
0.777   0.360231   -1.01512
0.778   0.359216   -1.01511
0.779   0.358201   -1.0151
0.78   0.357185   -1.01509
0.781   0.35617   -1.01507
0.782   0.355155   -1.01506
0.783   0.35414   -1.01504
0.784   0.353125   -1.01502
0.785   0.35211   -1.01499
0.786   0.351095   -1.01497
0.787   0.35008   -1.01494
0.788   0.349065   -1.01491
0.789   0.34805   -1.01488
0.79   0.347036   -1.01484
0.791   0.346021   -1.0148
0.792   0.345006   -1.01476
0.793   0.343991   -1.01472
0.794   0.342977   -1.01467
0.795   0.341962   -1.01462
0.796   0.340947   -1.01457
0.797   0.339933   -1.01452
0.798   0.338918   -1.01447
0.799   0.337904   -1.01441
0.8   0.336889   -1.01435
0.801   0.335875   -1.01428
0.802   0.334861   -1.01422
0.803   0.333847   -1.01415
0.804   0.332833   -1.01408
0.805   0.331819   -1.01401
0.806   0.330805   -1.01393
0.807   0.329791   -1.01385
0.808   0.328777   -1.01377
0.809   0.327763   -1.01369
0.81   0.326749   -1.01361
0.811   0.325736   -1.01352
0.812   0.324722   -1.01343
0.813   0.323709   -1.01333
0.814   0.322696   -1.01324
0.815   0.321683   -1.01314
0.816   0.320669   -1.01304
0.817   0.319656   -1.01294
