Time t / s,Frequency f / Hz,Path s_A1 / cm,Relative pressure p_B1 / hPa,Volume V / cm^3,FFT V' / cm^3,absolute P (hPa),corrected V (cm3),temperature (K),Ideal pressures tmax (hPa),Ideal pressures tmin (hPa),,,,
0,0,5.16859,-18,146.271097,166.6127832,982,273.596854,271.3859703,1149.217197,933.5575072,CONSTANT,127.325757,,
0.002,1.953125,5.082185,-12,143.8258355,208.2698308,988,271.1515925,270.6038115,1159.580907,941.9763854,T_max,317.5981916,V_max,295.381911
0.004,3.90625,4.987925,-4,141.1582775,115.8304302,996,268.4840345,270.1112105,1171.102074,951.3355141,T_min,257.9983808,V_min,150
0.006,5.859375,4.877955,3,138.0461265,61.78051758,1003,265.3718835,268.8565648,1184.836184,962.4923094,,,,
0.008,7.8125,4.767985,12,134.9339755,21.99376493,1012,262.2597325,268.0877266,1198.896249,973.9138928,T_max,,,
0.01,9.765625,4.66587,21,132.044121,5.529941635,1021,259.369878,267.491561,1212.254145,984.7650736,P_max=,2096.148065,,
0.012,11.71875,4.54019,31,128.487377,4.258187222,1031,255.813134,266.4074153,1229.108939,998.4569322,P_min=,1064.459935,,
0.014,13.671875,4.41451,42,124.930633,3.288504186,1042,252.25639,265.5062206,1246.439028,1012.534894,,,,
0.016,15.625,4.28883,53,121.373889,2.767052335,1053,248.699646,264.5259871,1264.264806,1027.015523,T_min,,,
0.018,17.578125,4.14744,66,117.372552,2.391261735,1066,244.698309,263.4832297,1284.93822,1043.809408,P_max=,1702.789314,,
0.02,19.53125,4.013905,79,113.5935115,2.161216949,1079,240.9192685,262.5776674,1305.093659,1060.182519,P_min=,864.7056151,,
0.022,21.484375,3.89608,93,110.259064,2.004535022,1093,237.584821,262.3032418,1323.410344,1075.061933,,,,
0.024,23.4375,3.75469,108,106.257727,1.856724226,1108,233.583484,261.4247477,1346.080657,1093.477983,,,,
0.026,25.390625,3.64472,123,103.145576,1.824796578,1123,230.471333,261.4336434,1364.257349,1108.243675,,,,
0.028,27.34375,3.511185,140,99.3665355,1.730679698,1140,226.6922925,261.0396095,1387,1126.718488,,,,
0.03,29.296875,3.39336,156,96.032088,1.701923386,1156,223.357845,260.8097665,1407.706139,1143.538956,,,,
0.032,31.25,3.25197,174,92.030751,1.549777088,1174,219.356508,260.1257984,1433.38446,1164.398537,,,,
0.034,33.203125,3.12629,192,88.474007,1.558379215,1192,215.799764,259.831635,1457.009053,1183.589788,,,,
0.036,35.15625,2.977045,211,84.2503735,1.467336434,1211,211.5761305,258.8067617,1486.094906,1207.217451,,,,
0.038,37.109375,2.867075,231,81.1382225,1.4662899,1231,208.4639795,259.2112715,1508.280761,1225.239956,,,,
0.04,39.0625,2.725685,252,77.1368855,1.357480965,1252,204.4626425,258.572958,1537.797838,1249.21792,,,,
0.042,41.015625,2.600005,274,73.5801415,1.349988018,1274,200.9058985,258.5395098,1565.022292,1271.333489,,,,
0.044,42.96875,2.48218,297,70.245694,1.288647139,1297,197.571451,258.8385575,1591.435443,1292.790004,,,,
0.046,44.921875,2.348645,318,66.4666535,1.224059481,1318,193.7924105,257.9983808,1622.469161,1318,,,,
0.048,46.875,2.23082,342,63.132206,1.156416175,1342,190.457963,258.1763498,1650.87458,1341.074917,,,,
0.05,48.828125,2.12085,368,60.020055,1.090053999,1368,187.345812,258.8778493,1678.298577,1363.352585,,,,
0.052,50.78125,2.02659,393,57.352497,1.070731509,1393,184.678254,259.8553614,1702.540515,1383.045331,,,,
0.054,52.734375,1.91662,417,54.240346,1.019539913,1417,181.566103,259.8779474,1731.723072,1406.751551,,,,
0.056,54.6875,1.80665,444,51.128195,0.979189383,1444,178.453952,260.2904108,1761.923489,1431.284621,,,,
0.058,56.640625,1.71239,472,48.460637,0.92316221,1472,175.786394,261.3712848,1788.660672,1453.00436,,,,
0.06,58.59375,1.61813,498,45.793079,0.901425305,1498,173.118836,261.9515316,1816.221833,1475.393452,,,,
0.062,60.546875,1.531725,525,43.3478175,0.8370739,1525,170.6735745,262.9062638,1842.243069,1496.531597,,,,
0.064,62.5,1.468885,551,41.5694455,0.790503772,1551,168.8952025,264.6024839,1861.640858,1512.289237,,,,
0.066,64.453125,1.38248,580,39.124184,0.732296947,1580,166.449941,265.6473806,1888.989613,1534.505783,,,,
0.068,66.40625,1.30393,606,36.901219,0.67712182,1606,164.226976,266.41265,1914.558846,1555.276747,,,,
0.07,68.359375,1.248945,634,35.3451435,0.659099533,1634,162.6709005,268.4891428,1932.873112,1570.154196,,,,
0.072,70.3125,1.19396,660,33.789068,0.612142905,1660,161.114825,270.1521308,1951.541143,1585.319023,,,,
0.074,72.265625,1.123265,687,31.7883995,0.576292228,1687,159.1141565,271.1369515,1976.079417,1605.252497,,,,
0.076,74.21875,1.076135,712,30.4546205,0.51474651,1712,157.7803775,272.8484912,1992.783987,1618.822322,,,,
0.078,76.171875,1.02115,736,28.898545,0.471534911,1736,156.224302,273.9448366,2012.633154,1634.946636,,,,
0.08,78.125,0.98973,760,28.009359,0.442933254,1760,155.335116,276.1513173,2024.154086,1644.305573,,,,
0.082,80.078125,0.9426,782,26.67558,0.375036802,1782,154.001337,277.2024066,2041.684935,1658.54662,,,,
0.084,82.03125,0.919035,804,26.0086905,0.354658887,1804,153.3344475,279.4094377,2050.564728,1665.76005,,,,
0.086,83.984375,0.887615,824,25.1195045,0.274090315,1824,152.4452615,280.8688454,2062.525306,1675.476131,,,,
0.088,85.9375,0.86405,842,24.452615,0.247999951,1842,151.778372,282.3997588,2071.587707,1682.837901,,,,
0.09,87.890625,0.83263,858,23.563429,0.19450693,1858,150.889186,283.1839471,2083.795519,1692.754821,,,,
0.092,89.84375,0.83263,872,23.563429,0.165183656,1872,150.889186,285.3177335,2083.795519,1692.754821,,,,
0.094,91.796875,0.80121,884,22.674243,0.153731616,1884,150,285.4545455,2096.148065,1702.789313,,,,
0.096,93.75,0.809065,894,22.8965395,0.099548186,1894,150.2222965,287.3949794,2093.046219,1700.269553,,,,
0.098,95.703125,0.80121,902,22.674243,0.082547124,1902,150,288.1818182,2096.148065,1702.789313,,,,
0.1,97.65625,0.80121,907,22.674243,0.035298142,1907,150,288.9393939,2096.148065,1702.789313,,,,
0.102,99.609375,0.80121,910,22.674243,0.047358864,1910,150,289.3939394,2096.148065,1702.789313,,,,
0.104,101.5625,0.809065,912,22.8965395,0.059080871,1912,150.2222965,290.1262938,2093.046219,1700.269553,,,,
0.106,103.515625,0.81692,911,23.118836,0.090545411,1911,150.444593,290.4036538,2089.95354,1697.75724,,,,
0.108,105.46875,0.83263,908,23.563429,0.120894337,1908,150.889186,290.804613,2083.795519,1692.754821,,,,
0.11,107.421875,0.86405,904,24.452615,0.152463959,1904,151.778372,291.905071,2071.587707,1682.837901,,,,
0.112,109.375,0.887615,897,25.1195045,0.190610194,1897,152.4452615,292.1097587,2062.525306,1675.476131,,,,
0.114,111.328125,0.9426,890,26.67558,0.203911094,1890,154.001337,294.0025525,2041.684935,1658.54662,,,,
0.116,113.28125,0.97402,881,27.564766,0.22657323,1881,154.890523,294.2919937,2029.964155,1649.025338,,,,
0.118,115.234375,1.029005,870,29.1208415,0.261177891,1870,156.4465985,295.5102416,2009.773384,1632.623524,,,,
0.12,117.1875,1.08399,858,30.676917,0.273043241,1858,158.002674,296.5343114,1989.980307,1616.544774,,,,
0.122,119.140625,1.138975,845,32.2329925,0.301276621,1845,159.5587495,297.3594877,1970.573288,1600.779636,,,,
0.124,121.09375,1.19396,832,33.789068,0.31346141,1832,161.114825,298.1437974,1951.541143,1585.319023,,,,
0.126,123.046875,1.264655,817,35.7897365,0.325665812,1817,163.1154935,299.3745977,1927.604809,1565.874532,,,,
0.128,125,1.327495,801,37.5681085,0.348638542,1801,164.8938655,299.9735876,1906.815689,1548.986654,,,,
0.13,126.953125,1.4139,785,40.01337,0.360636654,1785,167.339127,301.7175169,1878.952133,1526.351915,,,,
0.132,128.90625,1.500305,767,42.4586315,0.360165341,1767,169.7843885,303.0394086,1851.891169,1504.369155,,,,
